last_updated_date,nik_identifier,name,phone_number
23-09-2025,3171044203920001,DEWI LESTARI SARI,081234567890
23-09-2025,3578106207900002,MAYA SARI PUTRI,6285678901234
23-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,082345678901
23-09-2025,1275095011890004,LINDA MARLINA SIREGAR,0834-5678-9012
23-09-2025,7371094806930005,SITI AMINAH RAHMAN,0845-6789-0123
23-09-2025,5171036509910006,KADEK AYU DEWI,85678901234
23-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,86789012345
23-09-2025,3374164401880008,PUTRI INDAH MAHARANI,87890123456
23-09-2025,1671034310900009,DEVI SARI LESTARI,88901234567
23-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,89012345678
